Date,Max Temp,Min Temp,Precipitation,Snowfall,Snow Depth
2013-01-01,44,34,0,0,0
2013-01-02,37,26,0,0,0
2013-01-03,38,22,0,0,0
2013-01-04,42,23,0,0,0
2013-01-05,43,31,T,0,0
2013-01-06,51,28,T,0,0
2013-01-07,47,27,0,0,0
2013-01-08,52,23,0,0,0
2013-01-09,51,27,T,0,0
2013-01-10,53,36,0,0,0
2013-01-11,45,32,0.07,0,0
2013-01-12,57,42,0,0,0
2013-01-13,49,40,T,0,0
2013-01-14,58,41,0.15,0,0
2013-01-15,41,35,0.66,0,0
2013-01-16,40,34,0.49,0,0
2013-01-17,45,37,T,0,0
2013-01-18,38,27,0,0,0
2013-01-19,54,28,0,0,0
2013-01-20,58,35,0,0,0
2013-01-21,41,29,T,T,0
2013-01-22,29,15,0,0,0
2013-01-23,25,12,0,0,0
2013-01-24,26,14,0.08,2,2
2013-01-25,22,11,0.07,0.9,2
2013-01-26,34,20,T,T,1
2013-01-27,42,24,0,0,0
2013-01-28,41,30,0.17,T,T
2013-01-29,66,37,0,0,0
2013-01-30,70,39,1.22,0,0
2013-01-31,63,28,0.73,0,0
2013-02-01,31,20,0.01,T,T
2013-02-02,29,17,0.02,0.3,0
2013-02-03,34,20,T,T,T
2013-02-04,35,21,0,0,0
2013-02-05,38,29,0,0,0
2013-02-06,44,28,0,0,0
2013-02-07,38,24,0,0,0
2013-02-08,42,33,0.24,0,0
2013-02-09,40,27,0,0,0
2013-02-10,43,18,0,0,0
2013-02-11,54,36,0.41,0,0
2013-02-12,54,37,0,0,0
2013-02-13,44,31,0.31,0.2,0
2013-02-14,49,30,0,0,0
2013-02-15,59,29,0.09,T,0
2013-02-16,37,32,0.04,T,0
2013-02-17,32,24,T,T,0
2013-02-18,40,20,0,0,0
2013-02-19,45,26,0.09,T,0
2013-02-20,38,24,T,T,0
2013-02-21,38,23,0,0,0
2013-02-22,33,28,0.03,T,0
2013-02-23,46,32,0.12,0,0
2013-02-24,50,31,0,0,0
2013-02-25,48,27,0,0,0
2013-02-26,43,26,0.49,0,0
2013-02-27,56,40,0.07,0,0
2013-02-28,47,39,0.03,T,0
2013-03-01,45,33,0,0,0
2013-03-02,41,30,T,T,0
2013-03-03,39,29,T,T,0
2013-03-04,42,27,0,0,0
2013-03-05,48,27,0,0,0
2013-03-06,40,33,0.75,T,T
2013-03-07,49,35,0,0,0
2013-03-08,49,33,0,0,0
2013-03-09,62,35,0,0,0
2013-03-10,59,28,0,0,0
2013-03-11,57,43,0.01,0,0
2013-03-12,58,40,0.63,0,0
2013-03-13,50,29,T,0,0
2013-03-14,45,31,0,0,0
2013-03-15,55,25,0,0,0
2013-03-16,52,37,T,0,0
2013-03-17,41,34,0,0,0
2013-03-18,38,35,0.39,0,0
2013-03-19,58,36,T,0,0
2013-03-20,51,31,0,0,0
2013-03-21,40,28,T,T,0
2013-03-22,46,27,0,0,0
2013-03-23,52,26,0,0,0
2013-03-24,42,28,T,T,0
2013-03-25,36,32,0.82,3.2,2
2013-03-26,50,30,T,0,1
2013-03-27,50,37,T,0,0
2013-03-28,50,35,T,0,0
2013-03-29,56,40,0,0,0
2013-03-30,60,34,0,0,0
2013-03-31,54,36,0.04,0,0
2013-04-01,65,37,T,0,0
2013-04-02,48,28,0,0,0
2013-04-03,50,27,0,0,0
2013-04-04,50,25,0.04,T,0
2013-04-05,65,38,0.11,0,0
2013-04-06,54,37,0,0,0
2013-04-07,68,38,0,0,0
2013-04-08,78,50,0,0,0
2013-04-09,85,61,0,0,0
2013-04-10,91,64,0,0,0
2013-04-11,82,53,0,0,0
2013-04-12,62,50,0.67,0,0
2013-04-13,67,40,0,0,0
2013-04-14,67,40,0,0,0
2013-04-15,62,52,T,0,0
2013-04-16,74,51,0,0,0
2013-04-17,74,58,T,0,0
2013-04-18,74,57,0.04,0,0
2013-04-19,78,52,0.79,0,0
2013-04-20,59,46,0.07,0,0
2013-04-21,54,39,0,0,0
2013-04-22,55,35,0,0,0
2013-04-23,62,46,0,0,0
2013-04-24,73,41,T,0,0
2013-04-25,65,46,T,0,0
2013-04-26,66,41,0,0,0
2013-04-27,69,39,0,0,0
2013-04-28,68,41,T,0,0
2013-04-29,59,53,0.26,0,0
2013-04-30,61,49,0.22,0,0
2013-05-01,68,47,0,0,0
2013-05-02,67,43,0,0,0
2013-05-03,65,44,0,0,0
2013-05-04,67,46,0,0,0
2013-05-05,62,45,0,0,0
2013-05-06,62,47,0.03,0,0
2013-05-07,64,57,0.8,0,0
2013-05-08,71,55,0.17,0,0
2013-05-09,75,51,0,0,0
2013-05-10,83,52,0.62,0,0
2013-05-11,78,63,0.61,0,0
2013-05-12,64,45,T,0,0
2013-05-13,60,38,0,0,0
2013-05-14,63,34,T,0,0
2013-05-15,79,54,T,0,0
2013-05-16,81,67,T,0,0
2013-05-17,82,55,0,0,0
2013-05-18,67,59,0.02,0,0
2013-05-19,70,59,T,0,0
2013-05-20,80,62,0,0,0
2013-05-21,83,66,0,0,0
2013-05-22,87,69,0.01,0,0
2013-05-23,80,65,0.99,0,0
2013-05-24,65,49,0.03,0,0
2013-05-25,66,44,0,0,0
2013-05-26,72,47,0,0,0
2013-05-27,73,46,0,0,0
2013-05-28,77,58,0.15,0,0
2013-05-29,89,65,0,0,0
2013-05-30,92,69,0,0,0
2013-05-31,90,66,0,0,0
2013-06-01,91,69,0,0,0
2013-06-02,85,69,0.24,0,0
2013-06-03,81,66,0.44,0,0
2013-06-04,76,58,0,0,0
2013-06-05,78,53,0,0,0
2013-06-06,73,60,0.18,0,0
2013-06-07,71,66,2.25,0,0
2013-06-08,81,64,T,0,0
2013-06-09,80,63,T,0,0
2013-06-10,79,69,1.8,0,0
2013-06-11,83,67,0,0,0
2013-06-12,88,66,T,0,0
2013-06-13,86,69,1.3,0,0
2013-06-14,79,60,0.04,0,0
2013-06-15,83,58,0,0,0
2013-06-16,85,62,0.01,0,0
2013-06-17,88,69,0,0,0
2013-06-18,78,63,0.35,0,0
2013-06-19,78,61,T,0,0
2013-06-20,80,58,0,0,0
2013-06-21,82,56,0,0,0
2013-06-22,86,61,0,0,0
2013-06-23,83,66,0.04,0,0
2013-06-24,92,70,0.02,0,0
2013-06-25,93,68,0.06,0,0
2013-06-26,92,68,0.34,0,0
2013-06-27,85,69,0.66,0,0
2013-06-28,87,71,0.02,0,0
2013-06-29,87,68,0,0,0
2013-06-30,86,73,0.06,0,0
2013-07-01,83,73,0.26,0,0
2013-07-02,83,72,0.05,0,0
2013-07-03,86,72,0.59,0,0
2013-07-04,88,73,T,0,0
2013-07-05,89,74,0,0,0
2013-07-06,93,74,0,0,0
2013-07-07,91,71,0.11,0,0
2013-07-08,86,70,0.01,0,0
2013-07-09,83,73,T,0,0
2013-07-10,88,74,T,0,0
2013-07-11,87,72,0.22,0,0
2013-07-12,76,67,0.66,0,0
2013-07-13,84,69,0.31,0,0
2013-07-14,88,71,0,0,0
2013-07-15,95,72,0,0,0
2013-07-16,95,75,0,0,0
2013-07-17,96,74,0,0,0
2013-07-18,97,75,T,0,0
2013-07-19,96,74,0.38,0,0
2013-07-20,93,74,T,0,0
2013-07-21,92,73,T,0,0
2013-07-22,88,73,0.07,0,0
2013-07-23,87,72,0.06,0,0
2013-07-24,85,70,0,0,0
2013-07-25,79,62,0,0,0
2013-07-26,85,64,0,0,0
2013-07-27,85,66,0.05,0,0
2013-07-28,87,70,T,0,0
2013-07-29,84,64,0,0,0
2013-07-30,84,59,0,0,0
2013-07-31,82,63,0,0,0
2013-08-01,81,67,0.38,0,0
2013-08-02,87,65,0,0,0
2013-08-03,78,66,0.03,0,0
2013-08-04,83,62,0,0,0
2013-08-05,80,56,0,0,0
2013-08-06,72,65,0.13,0,0
2013-08-07,81,68,0.1,0,0
2013-08-08,86,71,0.08,0,0
2013-08-09,90,75,0.01,0,0
2013-08-10,85,69,0.01,0,0
2013-08-11,85,68,0,0,0
2013-08-12,90,69,0,0,0
2013-08-13,86,72,0.33,0,0
2013-08-14,76,60,0,0,0
2013-08-15,79,53,0,0,0
2013-08-16,78,53,0,0,0
2013-08-17,80,55,0,0,0
2013-08-18,73,65,0.02,0,0
2013-08-19,77,61,0,0,0
2013-08-20,90,62,0,0,0
2013-08-21,89,69,0.01,0,0
2013-08-22,91,71,0,0,0
2013-08-23,80,60,0.02,0,0
2013-08-24,83,59,0,0,0
2013-08-25,81,57,0,0,0
2013-08-26,89,61,0,0,0
2013-08-27,92,73,T,0,0
2013-08-28,84,71,0.01,0,0
2013-08-29,86,70,T,0,0
2013-08-30,88,68,0,0,0
2013-08-31,91,70,0,0,0
2013-09-01,91,70,T,0,0
2013-09-02,92,71,0.01,0,0
2013-09-03,86,65,T,0,0
2013-09-04,85,57,0,0,0
2013-09-05,85,62,0,0,0
2013-09-06,78,55,0,0,0
2013-09-07,82,51,0,0,0
2013-09-08,89,65,0.01,0,0
2013-09-09,78,61,0,0,0
2013-09-10,93,70,0,0,0
2013-09-11,95,73,0,0,0
2013-09-12,89,70,0.65,0,0
2013-09-13,80,61,T,0,0
2013-09-14,70,51,0,0,0
2013-09-15,76,47,0,0,0
2013-09-16,75,58,0.03,0,0
2013-09-17,68,47,0,0,0
2013-09-18,71,44,0,0,0
2013-09-19,77,47,0,0,0
2013-09-20,78,52,0,0,0
2013-09-21,79,58,0.95,0,0
2013-09-22,73,53,0,0,0
2013-09-23,67,47,0,0,0
2013-09-24,74,43,0,0,0
2013-09-25,78,46,0,0,0
2013-09-26,74,53,0,0,0
2013-09-27,73,55,T,0,0
2013-09-28,72,55,0,0,0
2013-09-29,73,49,0,0,0
2013-09-30,76,49,0,0,0
2013-10-01,83,51,0,0,0
2013-10-02,86,60,0,0,0
2013-10-03,83,60,0,0,0
2013-10-04,89,59,0,0,0
2013-10-05,90,64,0,0,0
2013-10-06,86,65,0,0,0
2013-10-07,75,54,0.84,0,0
2013-10-08,68,47,0,0,0
2013-10-09,60,53,0.07,0,0
2013-10-10,58,54,2.35,0,0
2013-10-11,64,57,3.66,0,0
2013-10-12,68,60,0.41,0,0
2013-10-13,65,57,0.1,0,0
2013-10-14,69,51,0,0,0
2013-10-15,71,49,T,0,0
2013-10-16,69,58,0,0,0
2013-10-17,75,58,0.07,0,0
2013-10-18,66,46,0,0,0
2013-10-19,65,44,T,0,0
2013-10-20,63,42,0,0,0
2013-10-21,67,38,0,0,0
2013-10-22,64,42,T,0,0
2013-10-23,58,42,T,0,0
2013-10-24,53,37,0,0,0
2013-10-25,56,36,0,0,0
2013-10-26,56,30,0,0,0
2013-10-27,60,35,0,0,0
2013-10-28,65,33,0,0,0
2013-10-29,62,38,0,0,0
2013-10-30,65,44,0.11,0,0
2013-10-31,69,53,0.01,0,0
2013-11-01,73,54,0.17,0,0
2013-11-02,68,45,0,0,0
2013-11-03,56,39,0,0,0
2013-11-04,46,32,0,0,0
2013-11-05,57,35,0,0,0
2013-11-06,68,45,0,0,0
2013-11-07,61,43,0.05,0,0
2013-11-08,53,32,0,0,0
2013-11-09,53,29,0,0,0
2013-11-10,61,39,0,0,0
2013-11-11,55,37,0,0,0
2013-11-12,52,28,T,T,0
2013-11-13,44,26,0,0,0
2013-11-14,58,25,0,0,0
2013-11-15,60,27,0.02,0,0
2013-11-16,52,44,0.15,0,0
2013-11-17,64,50,0.04,0,0
2013-11-18,68,50,0.11,0,0
2013-11-19,50,37,0,0,0
2013-11-20,44,29,0,0,0
2013-11-21,49,27,0,0,0
2013-11-22,60,45,0.01,0,0
2013-11-23,57,31,0,0,0
2013-11-24,32,22,0,0,0
2013-11-25,36,19,0,0,0
2013-11-26,49,32,1.61,T,0
2013-11-27,49,30,0.66,T,0
2013-11-28,38,24,0,0,0
2013-11-29,42,22,0,0,0
2013-11-30,37,25,0,0,0
2013-12-01,49,24,0,0,0
2013-12-02,49,39,0,0,0
2013-12-03,56,36,0,0,0
2013-12-04,51,35,0,0,0
2013-12-05,66,49,T,0,0
2013-12-06,65,38,0.9,0,0
2013-12-07,43,31,0.17,0,0
2013-12-08,31,27,0.56,1.6,0
2013-12-09,37,31,0.52,0,1
2013-12-10,36,31,0.31,1.3,T
2013-12-11,38,22,0,0,1
2013-12-12,31,22,0,0,1
2013-12-13,41,22,0,0,1
2013-12-14,38,30,0.61,T,0
2013-12-15,46,32,0,0,0
2013-12-16,37,30,0,0,0
2013-12-17,37,31,0.01,T,T
2013-12-18,40,24,0,0,0
2013-12-19,58,22,0,0,0
2013-12-20,59,45,0,0,0
2013-12-21,71,54,0,0,0
2013-12-22,71,62,0.24,0,0
2013-12-23,63,38,0.86,0,0
2013-12-24,40,23,T,T,0
2013-12-25,32,18,0,0,0
2013-12-26,44,19,T,T,0
2013-12-27,49,22,0,0,0
2013-12-28,58,28,0,0,0
2013-12-29,47,39,1.09,0,0
2013-12-30,47,32,0,0,0
2013-12-31,43,25,0,0,0
